what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1351658395690
os,sysinfo,,,"win32",1351658395692
arch,sysinfo,,,"x86",1351658395692
ws,sysinfo,,,"win32",1351658395692
locale,sysinfo,,,"en_IN",1351658395692
processors,sysinfo,,,"4",1351658395692
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351658395692
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1351658395692
java.specification.name,sysinfo,,,"Java Platform API Specification",1351658395692
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351658395692
java.specification.version,sysinfo,,,"1.6",1351658395692
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1351658395692
java.version,sysinfo,,,"1.6.0_24",1351658395692
java.vm.info,sysinfo,,,"mixed mode, sharing",1351658395692
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1351658395692
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351658395692
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351658395692
java.vm.specification.version,sysinfo,,,"1.0",1351658395692
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1351658395692
java.vm.version,sysinfo,,,"19.1-b02",1351658395692
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1351658395694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351658400157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351661156513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351661160090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351661161499
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351661161653
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351661161830
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1351661161846
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.3.v201208082019-427395,"overlay.com.android.ide.eclipse.adt.overlay",1351661161926
stopped,bundle,com.mds.apg,1.2.91.201207042009,"com.mds.apg",1351661161927
stopped,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1351661161928
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1351661161929
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1351661161929
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1351661161929
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1351661161930
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1351661161931
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1351661161932
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1351661161933
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1351661161933
stopped,bundle,org.eclipse.jst.ws.tests.performance,1.0.203.v200904082132,"org.eclipse.jst.ws.tests.performance",1351661161934
stopped,bundle,org.eclipse.jst.ws.tests,1.0.302.v200901081607,"org.eclipse.jst.ws.tests",1351661161934
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1351661161935
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1351661161936
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1351661161937
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1351661161937
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1351661161938
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1351661161938
